soort,frequentie,schatting,lcl,ucl,jaarlijks,looptijd,klasse,verloop,analysis,status
Aalscholver,driejaarlijks,1.125,1.074,1.179,+12.5% (+7.4%; +17.9%),+420% (+170%; +900%),++,lineair,a6cb66db5efbdfa9e83e34f3834d990f409e3ff9,deec5023db613d1d8b0dca85ca15a83a266615d0
Aalscholver,jaarlijks,1.123,1.073,1.176,+12.3% (+7.3%; +17.6%),+410% (+170%; +860%),++,niet-lineair,0acfd2a5ed18cf1fc83f3caeb43b9dc028c9aff6,5aafb03f4e673bbc615540cf5d176f594198fcf3
Bergeend,driejaarlijks,1.025,1.01,1.041,+2.5% (+1.0%; +4.1%),+42% (+15%; +75%),+,niet-lineair,df839eb78571066fcf8a6e883baa76f2626c03e8,221325e317299725d541a63c365f810fd88e01b1
Bergeend,jaarlijks,1.021,1.007,1.036,+2.1% (+0.7%; +3.6%),+35% (+10%; +65%),+,niet-lineair,d8172b7949a2a990a828c8858c2bfc4ca35cb9c7,47149db1f6683e91e056314ecdd0285e922a1d13
Blauwborst,driejaarlijks,1.013,0.996,1.031,+1.3% (-0.4%; +3.1%),+20% (-6%; +54%),?+,niet-lineair,14e0eacb2efd1613e8142c193f46cb3419396eed,afd3776bcbd955e4c2779dbb570c49c7c79d8056
Blauwborst,jaarlijks,1.012,0.995,1.03,+1.2% (-0.5%; +3.0%),+19% (-6%; +51%),?+,niet-lineair,a6e0620c4eee9081d30d0cf12b7775f46a7c81fe,3fdab52d38623ebd6ac5d32f6cc197bf761dd31e
Blauwe reiger,driejaarlijks,1.021,1,1.043,+2.1% (+0.0%; +4.3%),+34% (+0%; +79%),+,niet-lineair,0485a31d97f13c6ca8bebd2cf90dd49ef088b5ba,6cf084b3a913c9e22c8c02c5d2b4d61354487af7
Blauwe reiger,jaarlijks,1.021,1,1.042,+2.1% (-0.0%; +4.2%),+34% (-0%; +79%),?+,niet-lineair,42013e2aafb7b0e06dd2c0c662b3b94a9ccad700,9b57f7a0581aef09effcc01c4aeb54f675dc137c
Boerenzwaluw,driejaarlijks,1.009,1.002,1.017,+0.94% (+0.16%; +1.73%),+14% (+2%; +27%),+~,niet-lineair,93775c7d5e3da697ee33cebb8f22e4cf6b69a3d7,8106b836f927cd8b511b108f1f1bd98fa6a5c72e
Boerenzwaluw,jaarlijks,1.008,1,1.016,+0.77% (+0.00%; +1.55%),+11% (+0%; +24%),~,niet-lineair,322f8a0dc80c3e7689c2145cf9dd93e676393e23,8bcb4f14334486d232a221fb2669931976d02bf8
Bonte vliegenvanger,driejaarlijks,1.031,1.001,1.062,+3.1% (+0.1%; +6.2%),+54% (+2%; +132%),+,mogelijk niet-lineair,e5547680c1865fb537531849857d00607f90a41e,7d3c008a4ba659e60932d9e76fb7248948f079e0
Bonte vliegenvanger,jaarlijks,1.038,1.009,1.068,+3.8% (+0.9%; +6.8%),+69% (+14%; +151%),+,lineair,2e339b89e185772714849e1caa30d0a674e79ab6,ce6177e3b030032b88b8e16af1088c08f34cf4bf
Boomklever,driejaarlijks,1.043,1.03,1.057,+4.3% (+3.0%; +5.7%),+80.5% (+50.5%; +116.5%),++,niet-lineair,1481ad68628a68fc999ebae28d3aff74e4e3a477,519fbc4704307e39f5ed42bd11d591330f1d081c
Boomklever,jaarlijks,1.044,1.031,1.058,+4.4% (+3.1%; +5.8%),+82.8% (+52.8%; +119.0%),++,niet-lineair,e567cbf77633ff186bd3dbf90494622c1f8a82e5,e9ac7a82c7e4cacce4aae8ef2adb09485184de54
Boomkruiper,driejaarlijks,1.021,1.01,1.032,+2.1% (+1.0%; +3.2%),+34% (+16%; +55%),+,mogelijk niet-lineair,cc28778252445cda7f4027a41225a68480400eac,7eb166743dd1447247fed6a880252766063063ad
Boomkruiper,jaarlijks,1.02,1.01,1.031,+2.0% (+1.0%; +3.1%),+32% (+15%; +53%),+,niet-lineair,334410b58678226107fa7ad8ad832991fad40610,320b7944e2b1d3fc9d278859a4c39c84377ec28d
Boomleeuwerik,driejaarlijks,1.06,1.02,1.101,+5.96% (+2.00%; +10.08%),+120% (+30%; +280%),+,lineair,68648c68776bd6929af5d0a6cb60dc2e235531f3,d488ec95bb5e109da44eb7a67848fba082ce5487
Boomleeuwerik,jaarlijks,1.061,1.02,1.103,+6.10% (+2.03%; +10.32%),+130% (+30%; +300%),+,niet-lineair,851359058370b58b2ccf1c96da5837ca5df706f5,76d4c79cae45d3b62d800735d8d4d1bde2bcd65a
Boompieper,driejaarlijks,1.003,0.986,1.02,+0.27% (-1.40%; +1.96%),+4% (-18%; +31%),~,lineair,ae4d77922d8e0700af25a2db5072574e27d103c2,151dc9aa3a8e47c2f9bd6bc8e972b5e6ed2598ec
Boompieper,jaarlijks,1.002,0.986,1.019,+0.23% (-1.43%; +1.91%),+3% (-18%; +30%),~,niet-lineair,a64c062cdf14a4c527f4d56c7aa3bbc08b946f40,1bef6e1ac546f3f1336a97fa0c7cb095b52dcef4
Bosrietzanger,driejaarlijks,0.995,0.966,1.025,-0.5% (-3.4%; +2.5%),-7% (-38%; +41%),?,mogelijk niet-lineair,c54e04795f26ed955e5b64d47d82e68c4f2b3a8b,9940bb6afc299a850f27c9900e879690f95111e1
